日時,ダウンロード,アップロード,ISP-Ping,AWS Tokyo-平均Ping,AWS Singapore-平均Ping,AWS Tokyo-パケロス,AWS Singapore-パケロス,AWS Tokyo-安定性,AWS Singapore-安定性
2025-10-21 12:13:44,169.5879838371723,9.587995736608084,20.924,17.84062385559082,0.0,安定,90.02561569213867,0.0,安定
2025-10-21 12:17:53,192.7393882572164,9.288807308882548,20.566,43.67947578430176,0.0,安定,96.68426513671875,0.0,安定
2025-10-21 12:20:06,195.9531463245626,9.7311947799835,19.279,45.1890230178833,20.0,注意,118.20473670959473,0.0,安定
2025-10-21 12:20:35,182.0742533902435,10.047361509874547,21.894,80.30400276184082,0.0,安定,108.53797197341919,20.0,注意
2025-10-21 12:23:26,159.6756175116009,10.095657449923104,22.648,58.316898345947266,0.0,安定,118.90687942504883,0.0,安定
2025-10-21 12:25:29,198.5987085197151,0.0,22.39,19.530534744262695,0.0,安定,85.47053337097168,0.0,安定
2025-10-21 12:25:59,163.9354666368408,9.90768344245972,20.888,74.51410293579102,0.0,安定,114.72231149673462,20.0,注意
2025-10-21 12:31:08,189.97489928166544,0.0,25.857,19.47026252746582,0.0,安定,85.22381782531738,0.0,安定
2025-10-21 12:34:40,190.33210870310452,9.461316948431588,23.124,N/A,100.0,注意,86.68045997619629,0.0,安定
2025-10-21 12:38:53,N/A,N/A,N/A,17.803621292114258,0.0,安定,87.45870590209961,0.0,安定
2025-10-21 12:44:58,150.82052941692785,8.860832034319474,21.597,20.737361907958984,0.0,安定,N/A,100.0,注意
2025-10-21 12:45:34,72.08420461913555,9.634245700422266,41.56,46.47860527038574,0.0,安定,N/A,100.0,注意
2025-10-21 12:50:16,175.8662586511187,8.896418753248811,22.345,18.908977508544922,20.0,注意,85.90788841247559,0.0,安定
2025-10-21 12:53:29,148.82493114661324,9.31031090453962,23.051,21.63853645324707,0.0,安定,97.3273754119873,0.0,安定
2025-10-21 12:56:26,171.9975973234507,9.864050420110726,20.185,83.08253288269043,0.0,安定,123.21910858154297,0.0,安定
2025-10-21 13:00:18,N/A,N/A,N/A,51.886940002441406,0.0,安定,88.22131156921387,0.0,安定
2025-10-21 13:00:23,N/A,N/A,N/A,23.209047317504883,0.0,安定,85.29477119445801,0.0,安定
2025-10-21 13:00:25,N/A,N/A,N/A,20.66359519958496,0.0,安定,84.96198654174805,0.0,安定
2025-10-21 13:00:33,N/A,N/A,N/A,19.35749053955078,0.0,安定,85.0430965423584,0.0,安定
2025-10-21 13:00:35,N/A,N/A,N/A,20.884275436401367,0.0,安定,83.25071334838867,0.0,安定
2025-10-21 13:00:37,N/A,N/A,N/A,18.70436668395996,0.0,安定,85.17980575561523,0.0,安定
2025-10-21 13:00:38,N/A,N/A,N/A,19.44131851196289,0.0,安定,85.78577041625977,0.0,安定
2025-10-21 13:00:40,N/A,N/A,N/A,19.075584411621094,0.0,安定,86.23800277709961,0.0,安定
2025-10-21 13:00:43,N/A,N/A,N/A,18.081068992614746,20.0,注意,84.34295654296875,0.0,安定
2025-10-21 13:09:49,219.62066946430747,9.807239061862154,23.617,82.54199028015137,0.0,安定,136.88435554504395,0.0,安定
2025-10-21 13:16:20,158.84767106837387,9.980895012655632,27.858,55.90188503265381,20.0,注意,113.35234642028809,0.0,安定
